seed,experiment,p95_critical_latency_sec,stale_data_ratio,trusted_stale_exposure,priority_inversion_rate,kill_chain_delay_sec,recovery_instability,mission_impact,delivered_count,dropped_count,critical_delivered_count,attack_count,defense_count
2039,E6_ml_aura_tsra_r,1.8999999999999986,0.5,0.125,0.0658682634730539,9.399999999999999,3.0,0.1643507984031936,325.0,8.0,63.0,5.0,24.0
2039,E7_ml_aura_ml_tsra_r,2.0,0.5,0.125,0.06198347107438017,9.5,3.0,0.16307506887052342,362.0,4.0,83.0,5.0,31.0
2040,E1_baseline,2.3499999999999943,0.5,0.5,0.2918781725888325,32.349999999999994,0.0,0.43660575296108284,331.0,3.0,74.0,0.0,0.0
2040,E2_fixed_attack,31.0,0.5,0.5,0.5823045267489712,61.0,0.0,0.6816666666666666,338.0,8.0,70.0,1.0,0.0
2040,E3_rule_aura,149.0,0.75,0.75,0.8372703412073491,194.0,0.0,0.9500000000000001,123.0,4.0,19.0,5.0,0.0
2040,E4_rule_aura_basic_defense,2.0,0.5,0.125,0.01174496644295302,9.5,0.0,0.08795581655480984,339.0,3.0,81.0,5.0,22.0
2040,E5_rule_aura_tsra_r,2.0,0.5,0.125,0.010057471264367816,9.5,3.0,0.13711206896551725,368.0,6.0,83.0,5.0,25.0
2040,E6_ml_aura_tsra_r,2.0,0.5,0.125,0.008962868117797696,9.5,3.0,0.13656476739223217,367.0,10.0,68.0,5.0,26.0
2040,E7_ml_aura_ml_tsra_r,2.0,0.5,0.125,0.0644718792866941,9.5,3.0,0.16431927297668036,352.0,8.0,80.0,5.0,30.0
2041,E1_baseline,2.0,0.5,0.5,0.2838541666666667,32.0,0.0,0.43026041666666665,316.0,1.0,67.0,0.0,0.0
2041,E2_fixed_attack,15.900000000000006,0.5,0.5,0.5705645161290323,45.900000000000006,0.0,0.5810000000000001,335.0,6.0,72.0,1.0,0.0
2041,E3_rule_aura,158.4,0.75,0.75,0.8256410256410256,203.4,0.0,0.9500000000000001,134.0,1.0,17.0,5.0,0.0
2041,E4_rule_aura_basic_defense,2.0,0.5,0.125,0.05326460481099656,9.5,0.0,0.10871563573883161,331.0,2.0,73.0,5.0,23.0
2041,E5_rule_aura_tsra_r,2.0,0.5,0.125,0.056338028169014086,9.5,3.0,0.1602523474178404,356.0,6.0,80.0,5.0,25.0
2041,E6_ml_aura_tsra_r,2.0,0.5,0.125,0.04223433242506812,9.5,3.0,0.1532004995458674,349.0,8.0,65.0,5.0,25.0
2041,E7_ml_aura_ml_tsra_r,2.450000000000003,0.5,0.125,0.07112970711297072,9.950000000000003,3.0,0.1706481868898187,339.0,4.0,72.0,5.0,31.0
2042,E1_baseline,3.0,0.5,0.5,0.34102564102564104,33.0,0.0,0.4655128205128205,326.0,3.0,83.0,0.0,0.0
2042,E2_fixed_attack,42.250000000000014,0.5,0.5,0.6299376299376299,72.25000000000001,0.0,0.7566666666666667,337.0,2.0,72.0,1.0,0.0
2042,E3_rule_aura,158.0,0.75,0.75,0.8505434782608695,203.0,0.0,0.9500000000000001,117.0,2.0,14.0,5.0,0.0
2042,E4_rule_aura_basic_defense,2.0,0.5,0.125,0.044169611307420496,9.5,0.0,0.10416813898704358,310.0,7.0,68.0,5.0,20.0
2042,E5_rule_aura_tsra_r,2.0,0.5,0.125,0.036308623298033284,9.5,3.0,0.15023764498234998,341.0,9.0,73.0,5.0,24.0
2042,E6_ml_aura_tsra_r,2.0,0.5,0.125,0.026277372262773723,9.5,3.0,0.1452220194647202,337.0,6.0,57.0,5.0,26.0
2042,E7_ml_aura_ml_tsra_r,2.0,0.5,0.125,0.04986522911051213,9.5,3.0,0.1570159478885894,355.0,7.0,72.0,5.0,31.0
2043,E1_baseline,3.0,0.5,0.5,0.363013698630137,33.0,0.0,0.4765068493150685,341.0,3.0,76.0,0.0,0.0
2043,E2_fixed_attack,43.0,0.5,0.5,0.6366906474820144,73.0,0.0,0.7616666666666665,353.0,13.0,70.0,1.0,0.0
2043,E3_rule_aura,169.7,0.5,0.5,0.8286445012787724,199.7,0.0,0.9500000000000001,131.0,5.0,22.0,5.0,0.0
2043,E4_rule_aura_basic_defense,2.0,0.5,0.125,0.0587248322147651,9.5,0.0,0.11144574944071588,342.0,8.0,73.0,5.0,24.0
2043,E5_rule_aura_tsra_r,2.0,0.75,0.1875,0.0998439937597504,13.25,3.0,0.21638033021320852,340.0,11.0,68.0,5.0,23.0
2043,E6_ml_aura_tsra_r,2.0,0.5,0.125,0.04716981132075472,9.5,3.0,0.15566823899371068,373.0,7.0,81.0,5.0,24.0
2043,E7_ml_aura_ml_tsra_r,2.0,0.5,0.125,0.0731070496083551,9.5,3.0,0.1686368581375109,379.0,4.0,77.0,5.0,30.0
2044,E1_baseline,3.0,0.5,0.5,0.324455205811138,33.0,0.0,0.45722760290556896,321.0,4.0,67.0,0.0,0.0
2044,E2_fixed_attack,23.799999999999983,0.5,0.5,0.5258620689655172,53.79999999999998,0.0,0.6336666666666666,321.0,6.0,83.0,1.0,0.0
2044,E3_rule_aura,176.05,0.5,0.5,0.8282828282828283,206.05,0.0,0.9500000000000001,131.0,3.0,20.0,5.0,0.0
2044,E4_rule_aura_basic_defense,2.0,0.5,0.125,0.07105719237435008,9.5,0.0,0.11761192952050838,307.0,7.0,71.0,5.0,22.0
2044,E5_rule_aura_tsra_r,2.0,0.5,0.125,0.0624048706240487,9.5,3.0,0.16328576864535768,342.0,8.0,79.0,5.0,26.0
2044,E6_ml_aura_tsra_r,1.8499999999999943,0.5,0.125,0.059077809798270896,9.349999999999994,3.0,0.16062223823246874,336.0,6.0,84.0,5.0,25.0
2044,E7_ml_aura_ml_tsra_r,1.8499999999999943,0.5,0.125,0.059077809798270896,9.349999999999994,3.0,0.16062223823246874,336.0,6.0,84.0,5.0,35.0
2045,E1_baseline,2.0,0.5,0.5,0.36054421768707484,32.0,0.0,0.4686054421768708,332.0,10.0,81.0,0.0,0.0
2045,E2_fixed_attack,42.0,0.5,0.5,0.640074211502783,72.0,0.0,0.7550000000000001,349.0,9.0,86.0,1.0,0.0
2045,E3_rule_aura,182.1,0.25,0.25,0.8299492385786802,197.1,0.0,0.8250000000000001,130.0,4.0,19.0,5.0,0.0
2045,E4_rule_aura_basic_defense,2.0,0.5,0.125,0.020100502512562814,9.5,0.0,0.09213358458961474,334.0,6.0,81.0,5.0,21.0
2045,E5_rule_aura_tsra_r,1.0,0.5,0.125,0.014423076923076924,8.5,3.0,0.1326282051282051,384.0,10.0,83.0,5.0,26.0
2045,E6_ml_aura_tsra_r,2.0,0.5,0.125,0.016282225237449117,9.5,3.0,0.1402244459520579,367.0,14.0,84.0,5.0,25.0
2045,E7_ml_aura_ml_tsra_r,2.0,0.5,0.125,0.05527638190954774,9.5,3.0,0.1597215242881072,384.0,11.0,90.0,5.0,33.0
2046,E1_baseline,3.0,0.5,0.5,0.3425287356321839,33.0,0.0,0.46626436781609193,339.0,3.0,64.0,0.0,0.0
2046,E2_fixed_attack,30.699999999999996,0.5,0.5,0.5601577909270217,60.699999999999996,0.0,0.6796666666666665,337.0,6.0,67.0,1.0,0.0
2046,E3_rule_aura,174.7,0.25,0.25,0.8147208121827412,189.7,0.0,0.8250000000000001,140.0,5.0,28.0,5.0,0.0
2046,E4_rule_aura_basic_defense,2.0,0.5,0.125,0.03436426116838488,9.5,0.0,0.09926546391752576,329.0,2.0,70.0,5.0,22.0
2046,E5_rule_aura_tsra_r,2.0,0.5,0.125,0.0624048706240487,9.5,3.0,0.16328576864535768,365.0,4.0,86.0,5.0,23.0
2046,E6_ml_aura_tsra_r,2.0,0.5,0.125,0.027586206896551724,9.5,3.0,0.1458764367816092,363.0,8.0,89.0,5.0,25.0
2046,E7_ml_aura_ml_tsra_r,2.0,0.5,0.125,0.05013550135501355,9.5,3.0,0.1571510840108401,357.0,9.0,69.0,5.0,32.0
2047,E1_baseline,3.0,0.5,0.5,0.3627684964200477,33.0,0.0,0.4763842482100239,324.0,1.0,65.0,0.0,0.0
2047,E2_fixed_attack,21.9,0.5,0.5,0.546236559139785,51.9,0.0,0.621,322.0,2.0,63.0,1.0,0.0
2047,E3_rule_aura,145.2,0.5,0.5,0.8109452736318408,175.2,0.0,0.9460000000000001,149.0,2.0,25.0,5.0,0.0
2047,E4_rule_aura_basic_defense,2.0,0.5,0.125,0.06303236797274275,9.5,0.0,0.1135995173197047,333.0,1.0,79.0,5.0,22.0
2047,E5_rule_aura_tsra_r,1.0,0.5,0.125,0.09819967266775777,8.5,3.0,0.17451650300054555,351.0,4.0,71.0,5.0,23.0
2047,E6_ml_aura_tsra_r,2.0,0.5,0.125,0.08169014084507042,9.5,3.0,0.17292840375586854,340.0,8.0,67.0,5.0,26.0
2047,E7_ml_aura_ml_tsra_r,2.8999999999999915,0.5,0.125,0.077733860342556,10.399999999999991,3.0,0.1769502635046113,369.0,3.0,83.0,5.0,32.0
2048,E1_baseline,3.0,0.5,0.5,0.2641509433962264,33.0,0.0,0.4270754716981132,312.0,5.0,65.0,0.0,0.0
2048,E2_fixed_attack,12.649999999999999,0.5,0.5,0.41284403669724773,42.65,0.0,0.5593333333333333,319.0,7.0,68.0,1.0,0.0
