seed,condition,disabled_action,experiment,p95_critical_latency_sec,stale_data_ratio,trusted_stale_exposure,priority_inversion_rate,kill_chain_delay_sec,recovery_instability,mission_impact,delivered_count,dropped_count,critical_delivered_count,attack_count,defense_count
2051,full,none,tsra_ablation_full,2.0,0.5,0.125,0.023622047244094488,9.5,2.0,0.12722769028871392,342.0,11.0,70.0,5.0,24.0
2051,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,4.049999999999997,0.5,0.125,0.4716981132075472,11.549999999999997,3.0,0.34574999999999995,354.0,8.0,80.0,5.0,18.0
2051,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,1.0,0.5,0.125,0.022189349112426034,8.5,1.0,0.10317800788954634,346.0,4.0,80.0,5.0,15.0
2051,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.023622047244094488,32.0,2.0,0.3334776902887139,342.0,11.0,70.0,5.0,15.0
2051,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.025951557093425604,9.5,0.0,0.09505911188004613,327.0,2.0,78.0,5.0,21.0
2052,full,none,tsra_ablation_full,2.0,0.5,0.125,0.14426229508196722,9.5,2.0,0.18754781420765024,346.0,10.0,89.0,5.0,19.0
2052,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,2.0,0.5,0.125,0.4242928452579035,9.5,3.0,0.33208333333333334,347.0,9.0,86.0,5.0,18.0
2052,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,2.0,0.5,0.125,0.03542673107890499,9.5,1.0,0.11646336553945248,311.0,10.0,70.0,5.0,17.0
2052,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.14426229508196722,32.0,2.0,0.39379781420765025,346.0,10.0,89.0,5.0,11.0
2052,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.0855614973262032,9.5,0.0,0.12486408199643494,314.0,5.0,69.0,5.0,20.0
2053,full,none,tsra_ablation_full,2.0,0.5,0.125,0.06568144499178982,9.5,3.0,0.16492405582922826,332.0,9.0,73.0,5.0,23.0
2053,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,2.8499999999999943,0.5,0.125,0.43874172185430466,10.349999999999994,3.0,0.33774999999999994,332.0,6.0,64.0,5.0,17.0
2053,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,1.0999999999999943,0.5,0.125,0.055341055341055344,8.599999999999994,2.0,0.1370871943371943,345.0,6.0,59.0,5.0,17.0
2053,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.06568144499178982,32.0,3.0,0.37117405582922824,332.0,9.0,73.0,5.0,15.0
2053,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.06565656565656566,9.5,0.0,0.11491161616161616,335.0,2.0,69.0,5.0,23.0
2054,full,none,tsra_ablation_full,1.0,0.5,0.125,0.007473841554559043,8.5,1.0,0.09582025411061285,366.0,2.0,68.0,5.0,23.0
2054,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,2.0,0.5,0.125,0.47495961227786754,9.5,3.0,0.33208333333333334,335.0,9.0,48.0,5.0,17.0
2054,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,1.0,0.5,0.125,0.007320644216691069,8.5,1.0,0.09574365544167886,348.0,2.0,62.0,5.0,17.0
2054,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,1.0,0.5,0.5,0.007473841554559043,31.0,1.0,0.30207025411061283,366.0,2.0,68.0,5.0,15.0
2054,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.01549053356282272,9.5,0.0,0.08982860011474468,333.0,1.0,59.0,5.0,22.0
2055,full,none,tsra_ablation_full,2.0,0.5,0.125,0.04926108374384237,9.5,2.0,0.14004720853858785,351.0,9.0,79.0,5.0,24.0
2055,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,2.0,0.75,0.1875,0.5210355987055016,13.25,3.0,0.36645833333333333,342.0,4.0,85.0,5.0,17.0
2055,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,2.0,0.5,0.125,0.044444444444444446,9.5,1.0,0.12097222222222222,345.0,3.0,75.0,5.0,17.0
2055,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.04926108374384237,32.0,2.0,0.34629720853858786,351.0,9.0,79.0,5.0,15.0
